n, Valeur, T
0, 1, 0.000002
1, 1, 0.000001
2, 2, 0.000001
3, 3, 0.000001
4, 5, 0.000001
5, 8, 0.000001
6, 13, 0.000001
7, 21, 0.000001
8, 34, 0.000002
9, 55, 0.000002
10, 89, 0.000002
11, 144, 0.000002
12, 233, 0.000004
13, 377, 0.000005
14, 610, 0.000007
15, 987, 0.000011
16, 1597, 0.000017
17, 2584, 0.000027
18, 4181, 0.000042
19, 6765, 0.000069
20, 10946, 0.000103
21, 17711, 0.000247
22, 28657, 0.000318
23, 46368, 0.000616
24, 75025, 0.000732
25, 121393, 0.000862
26, 196418, 0.001442
27, 317811, 0.002527
28, 514229, 0.004098
29, 832040, 0.005997
30, 1346269, 0.009791
31, 2178309, 0.015895
32, 3524578, 0.024749
33, 5702887, 0.039305
34, 9227465, 0.061173
35, 14930352, 0.096231
36, 24157817, 0.140411
37, 39088169, 0.214525
38, 63245986, 0.377006
39, 102334155, 0.565045
40, 165580141, 0.891654
41, 267914296, 1.428387
42, 433494437, 2.318151
43, 701408733, 3.826646
44, 1134903170, 6.061864
45, 1836311903, 9.815287
46, 2971215073, 17.833353
47, 4807526976, 31.662567
48, 7778742049, 63.234337
49, 12586269025, 85.095329
